name,12/31/2024,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
				MineralProperties,"695,113,000","695,408,000","695,971,000","704,902,000","820,170,000","1,048,389,000","1,215,318,000","1,233,609,000","1,375,019,000","1,429,859,000","2,328,471,000","1,894,920,000","1,815,423,000","1,645,451,000","1,281,636,000","1,460,462,000","1,253,314,000","1,247,814,000",,,,,,
				LandAndImprovements,"24,008,000","24,008,000","24,008,000","24,008,000","24,008,000","24,008,000","24,008,000","24,008,000","25,252,000","25,022,000","25,243,000","24,340,000","24,340,000","24,534,000","24,543,000","24,343,000","24,343,000","24,343,000","17,781,000",,"13,721,000","572,751,000",,
				MachineryFurnitureEquipment,,,,,,,"6,865,000","6,865,000","79,171,000","92,049,000","89,759,000","55,271,000","55,271,000","67,175,000","81,906,000","81,866,000","68,197,000","54,758,000","30,266,000","6,019,000",,,,
				OtherProperties,,,,,,,,,,,,,,,"0",,"0","0","798,135,000","0","634,960,000",,,
				ConstructionInProgress,,,,,,,,"803,000","557,000","646,000","457,000","0","0","78,000","6,279,000","0","8,524,000","11,238,000",,,,,,
			AccumulatedDepreciation,"-315,475,000","-300,925,000","-283,659,000","-267,205,000","-359,797,000","-443,293,000","-472,206,000","-460,707,000","-497,112,000","-477,357,000","-576,742,000","-518,301,000","-457,820,000","-409,018,000","-25,837,000","-17,515,000","-283,139,000","-222,281,000","-651,000","-95,000","-111,116,000","-83,726,000","-59,243,000",
		GoodwillAndOtherIntangibleAssets,"12,924,000","13,682,000","14,713,000","16,130,000","17,459,000","17,687,000","42,513,000","46,820,000","53,047,000","56,927,000","112,745,000","66,950,000","70,766,000","75,164,000","161,931,000","1,316,389,000","102,828,000","106,222,000","798,135,000",,,,,
			Goodwill,,,,,,,,,,,"52,012,000","0",,,,,,,,,,,,
			OtherIntangibleAssets,"12,924,000","13,682,000","14,713,000","16,130,000","17,459,000","17,687,000","42,513,000","46,820,000","53,047,000","56,927,000","60,733,000","66,950,000","70,766,000","75,164,000","161,931,000","1,316,389,000","102,828,000","106,222,000","798,135,000",,,,,
		InvestmentsAndAdvances,"257,355,000","276,549,000","306,470,000","276,004,000","262,514,000","263,080,000","247,051,000","245,433,000","255,901,000","261,942,000","264,020,000","269,338,000","0",,,,,,,,,,,
			LongTermEquityInvestment,"257,355,000","276,549,000","306,470,000","276,004,000","262,514,000","263,080,000","247,051,000","245,433,000","255,901,000","261,942,000","264,020,000","269,338,000","0",,,,,,,,,,,
		NonCurrentAccountsReceivable,"23,480,000","26,321,000","28,946,000","31,371,000","33,264,000","36,963,000","38,945,000","40,776,000","43,785,000","47,359,000","50,008,000","51,732,000","55,576,000",,,,,,,,,,,
		NonCurrentNoteReceivables,,,,,,,,,,,,,,,,"2,891,000",,,,,,,,
		DuefromRelatedPartiesNonCurrent,,,,,,,,,"43,785,000","47,359,000","50,008,000","51,732,000","55,576,000","0",,,,,,,,,,
		NonCurrentDeferredAssets,,,,,,,,,,,"13,905,000","11,502,000","4,291,000","4,846,000","2,436,000","2,891,000","2,679,000",,,,,,,
		OtherNonCurrentAssets,"11,628,000","7,540,000","7,068,000","5,832,000","7,067,000","6,989,000","3,475,000","160,964,000","7,643,000","112,459,000","14,645,000","497,000","630,000","604,000","3,052,000","569,000","498,000","3,699,000","3,129,000","608,596,000","4,389,000","6,155,000","1,225,000",
TotalLiabilitiesNetMinorityInterest,"221,799,000","219,641,000","235,087,000","513,891,000","549,016,000","585,292,000","756,514,000","953,916,000","1,300,513,000","1,597,093,000","1,724,569,000","1,375,067,000","1,147,225,000","1,020,734,000","838,856,000","758,364,000","557,999,000","575,440,000","503,806,000","259,088,000","190,734,000","223,518,000","74,085,000","68,055,000"
	CurrentLiabilities,"31,865,000","49,840,000","60,229,000","64,385,000","61,372,000","62,708,000","148,746,000","120,549,000","189,151,000","136,409,000","147,931,000","123,388,000","117,815,000","59,493,000","56,930,000","57,388,000","34,181,000","36,628,000","24,282,000","16,892,000","15,316,000","14,744,000","3,333,000",
